x_mm,y_mm,irradiance_lux
1380.00,-1410.00,21.132166
1410.00,-1410.00,20.406190
1440.00,-1410.00,19.679345
1470.00,-1410.00,19.013006
1500.00,-1410.00,18.345496
-1500.00,-1380.00,18.966111
-1470.00,-1380.00,19.654725
-1440.00,-1380.00,20.393161
-1410.00,-1380.00,21.132168
-1380.00,-1380.00,21.923756
-1350.00,-1380.00,22.715462
-1320.00,-1380.00,23.562466
-1290.00,-1380.00,24.408870
-1260.00,-1380.00,25.328455
-1230.00,-1380.00,26.231762
-1200.00,-1380.00,27.195122
-1170.00,-1380.00,28.172524
-1140.00,-1380.00,29.178556
-1110.00,-1380.00,30.232000
-1080.00,-1380.00,31.297356
-1050.00,-1380.00,32.410132
-1020.00,-1380.00,33.532985
-990.00,-1380.00,34.703340
-960.00,-1380.00,35.922700
-930.00,-1380.00,37.107132
-900.00,-1380.00,38.358290
-870.00,-1380.00,39.589722
-840.00,-1380.00,40.887157
-810.00,-1380.00,42.252314
-780.00,-1380.00,43.542957
-750.00,-1380.00,44.896737
-720.00,-1380.00,46.213932
-690.00,-1380.00,47.565485
-660.00,-1380.00,48.896914
-630.00,-1380.00,50.229495
-600.00,-1380.00,51.587336
-570.00,-1380.00,52.912198
-540.00,-1380.00,54.226628
-510.00,-1380.00,55.496756
-480.00,-1380.00,56.775908
-450.00,-1380.00,57.969482
-420.00,-1380.00,59.162744
-390.00,-1380.00,60.319480
-360.00,-1380.00,61.372963
-330.00,-1380.00,62.410747
-300.00,-1380.00,63.363909
-270.00,-1380.00,64.194084
-240.00,-1380.00,65.061939
-210.00,-1380.00,65.797857
-180.00,-1380.00,66.393988
-150.00,-1380.00,66.985122
-120.00,-1380.00,67.428969
-90.00,-1380.00,67.723864
-60.00,-1380.00,67.989791
-30.00,-1380.00,68.152331
0.00,-1380.00,68.263469
30.00,-1380.00,68.152331
60.00,-1380.00,67.989791
90.00,-1380.00,67.723864
120.00,-1380.00,67.428969
150.00,-1380.00,66.985122
180.00,-1380.00,66.393988
210.00,-1380.00,65.797857
240.00,-1380.00,65.061939
270.00,-1380.00,64.194084
300.00,-1380.00,63.363909
330.00,-1380.00,62.410747
360.00,-1380.00,61.372963
390.00,-1380.00,60.319480
420.00,-1380.00,59.162744
450.00,-1380.00,57.969482
480.00,-1380.00,56.775908
510.00,-1380.00,55.496756
540.00,-1380.00,54.226628
570.00,-1380.00,52.912198
600.00,-1380.00,51.587336
630.00,-1380.00,50.229495
660.00,-1380.00,48.896914
690.00,-1380.00,47.565485
720.00,-1380.00,46.213932
750.00,-1380.00,44.896737
780.00,-1380.00,43.542957
810.00,-1380.00,42.252314
840.00,-1380.00,40.887157
870.00,-1380.00,39.589722
900.00,-1380.00,38.358290
930.00,-1380.00,37.107132
960.00,-1380.00,35.922700
990.00,-1380.00,34.703340
1020.00,-1380.00,33.532985
1050.00,-1380.00,32.410132
1080.00,-1380.00,31.297356
1110.00,-1380.00,30.232000
1140.00,-1380.00,29.178556
1170.00,-1380.00,28.172524
1200.00,-1380.00,27.195122
1230.00,-1380.00,26.231762
1260.00,-1380.00,25.328455
1290.00,-1380.00,24.408870
1320.00,-1380.00,23.562466
1350.00,-1380.00,22.715462
1380.00,-1380.00,21.923756
1410.00,-1380.00,21.132168
1440.00,-1380.00,20.393161
1470.00,-1380.00,19.654725
1500.00,-1380.00,18.966111
-1500.00,-1350.00,19.605636
-1470.00,-1350.00,20.354154
-1440.00,-1350.00,21.091664
-1410.00,-1350.00,21.895923
-1380.00,-1350.00,22.715464
-1350.00,-1350.00,23.578804
-1320.00,-1350.00,24.458410
-1290.00,-1350.00,25.383380
-1260.00,-1350.00,26.325079
-1230.00,-1350.00,27.297584
-1200.00,-1350.00,28.319110
-1170.00,-1350.00,29.373592
-1140.00,-1350.00,30.461219
-1110.00,-1350.00,31.582618
-1080.00,-1350.00,32.718440
-1050.00,-1350.00,33.924755
-1020.00,-1350.00,35.145496
-990.00,-1350.00,36.377817
-960.00,-1350.00,37.682420
-930.00,-1350.00,39.019506
-900.00,-1350.00,40.319430
-870.00,-1350.00,41.690956
-840.00,-1350.00,43.136204
-810.00,-1350.00,44.510642
-780.00,-1350.00,45.954509
-750.00,-1350.00,47.366285
-720.00,-1350.00,48.871441
-690.00,-1350.00,50.363398
-660.00,-1350.00,51.810040
-630.00,-1350.00,53.316068
-600.00,-1350.00,54.766087
-570.00,-1350.00,56.210149
-540.00,-1350.00,57.674051
-510.00,-1350.00,59.063031
-480.00,-1350.00,60.460980
-450.00,-1350.00,61.800882
-420.00,-1350.00,63.141664
-390.00,-1350.00,64.378044
-360.00,-1350.00,65.569275
-330.00,-1350.00,66.709713
-300.00,-1350.00,67.768155
-270.00,-1350.00,68.693462
-240.00,-1350.00,69.543476
-210.00,-1350.00,70.239488
-180.00,-1350.00,70.855084
-150.00,-1350.00,71.387980
-120.00,-1350.00,71.833528
-90.00,-1350.00,72.170229
-60.00,-1350.00,72.425244
-30.00,-1350.00,72.586688
0.00,-1350.00,72.643862
30.00,-1350.00,72.586688
60.00,-1350.00,72.425244
90.00,-1350.00,72.170229
120.00,-1350.00,71.833528
150.00,-1350.00,71.387980
180.00,-1350.00,70.855084
210.00,-1350.00,70.239488
240.00,-1350.00,69.543476
270.00,-1350.00,68.693462
300.00,-1350.00,67.768155
330.00,-1350.00,66.709713
360.00,-1350.00,65.569275
390.00,-1350.00,64.378044
420.00,-1350.00,63.141664
450.00,-1350.00,61.800882
480.00,-1350.00,60.460980
510.00,-1350.00,59.063031
540.00,-1350.00,57.674051
570.00,-1350.00,56.210149
600.00,-1350.00,54.766087
630.00,-1350.00,53.316068
660.00,-1350.00,51.810040
690.00,-1350.00,50.363398
720.00,-1350.00,48.871441
750.00,-1350.00,47.366285
780.00,-1350.00,45.954509
810.00,-1350.00,44.510642
840.00,-1350.00,43.136204
870.00,-1350.00,41.690956
900.00,-1350.00,40.319430
930.00,-1350.00,39.019506
960.00,-1350.00,37.682420
990.00,-1350.00,36.377817
1020.00,-1350.00,35.145496
1050.00,-1350.00,33.924755
1080.00,-1350.00,32.718440
1110.00,-1350.00,31.582618
1140.00,-1350.00,30.461219
1170.00,-1350.00,29.373592
1200.00,-1350.00,28.319110
1230.00,-1350.00,27.297584
1260.00,-1350.00,26.325079
1290.00,-1350.00,25.383380
1320.00,-1350.00,24.458410
1350.00,-1350.00,23.578804
1380.00,-1350.00,22.715464
1410.00,-1350.00,21.895923
1440.00,-1350.00,21.091664
1470.00,-1350.00,20.354154
1500.00,-1350.00,19.605636
-1500.00,-1320.00,20.251818
-1470.00,-1320.00,21.036838
-1440.00,-1320.00,21.852317
-1410.00,-1320.00,22.670850
-1380.00,-1320.00,23.562470
-1350.00,-1320.00,24.458411
-1320.00,-1320.00,25.401731
-1290.00,-1320.00,26.379540
-1260.00,-1320.00,27.392022
-1230.00,-1320.00,28.439760
-1200.00,-1320.00,29.523801
-1170.00,-1320.00,30.626278
-1140.00,-1320.00,31.800768
-1110.00,-1320.00,32.994752
-1080.00,-1320.00,34.225464
-1050.00,-1320.00,35.513307
-1020.00,-1320.00,36.817965
-990.00,-1320.00,38.179992
-960.00,-1320.00,39.534704
-930.00,-1320.00,40.990682
-900.00,-1320.00,42.435639
-870.00,-1320.00,43.912383
-840.00,-1320.00,45.419001
-810.00,-1320.00,46.979496
-780.00,-1320.00,48.565953
-750.00,-1320.00,50.096154
-720.00,-1320.00,51.726491
-690.00,-1320.00,53.345215
-660.00,-1320.00,54.918427
-630.00,-1320.00,56.585274
-600.00,-1320.00,58.165880
-570.00,-1320.00,59.804335
-540.00,-1320.00,61.340732
-510.00,-1320.00,62.957193
-480.00,-1320.00,64.489058
-450.00,-1320.00,65.959858
-420.00,-1320.00,67.428870
-390.00,-1320.00,68.746285
-360.00,-1320.00,69.961691
-330.00,-1320.00,71.057172
-300.00,-1320.00,72.086692
-270.00,-1320.00,73.024070
-240.00,-1320.00,73.904479
-210.00,-1320.00,74.682120
-180.00,-1320.00,75.361603
-150.00,-1320.00,75.959691
-120.00,-1320.00,76.430433
-90.00,-1320.00,76.823967
-60.00,-1320.00,77.105013
-30.00,-1320.00,77.272211
0.00,-1320.00,77.324577
30.00,-1320.00,77.272211
60.00,-1320.00,77.105013
90.00,-1320.00,76.823967
120.00,-1320.00,76.430433
150.00,-1320.00,75.959691
180.00,-1320.00,75.361603
210.00,-1320.00,74.682120
240.00,-1320.00,73.904479
270.00,-1320.00,73.024070
300.00,-1320.00,72.086692
330.00,-1320.00,71.057172
360.00,-1320.00,69.961691
